dcid,date,SdrAllocationsSdr
country/ARG,1987-10-31,318370000.0
country/AUS,1987-10-31,470545000.0
country/AUT,1987-10-31,179045000.0
country/BHS,1987-10-31,10230000.0
country/BHR,1987-10-31,6200000.0
country/BGD,1987-10-31,47120000.0
country/BRB,1987-10-31,8039000.0
country/BEL,1987-10-31,485246000.0
country/BLZ,1987-10-31,0.0
country/BEN,1987-10-31,9409000.0
country/BTN,1987-10-31,0.0
country/BOL,1987-10-31,26703000.0
country/BWA,1987-10-31,4359000.0
country/BRA,1987-10-31,358670000.0
country/BFA,1987-10-31,9409000.0
country/BDI,1987-10-31,13697000.0
country/CPV,1987-10-31,620000.0
country/KHM,1987-10-31,15417000.0
country/CMR,1987-10-31,24462600.0
country/CAN,1987-10-31,779290000.0
country/CAF,1987-10-31,9325000.0
country/TCD,1987-10-31,9409000.0
country/CHL,1987-10-31,121924000.0
country/CHN,1987-10-31,236800000.0
country/COL,1987-10-31,114271000.0
country/COM,1987-10-31,716400.0
country/COD,1987-10-31,86309000.0
country/COG,1987-10-31,9719000.0
country/CRI,1987-10-31,23726000.0
country/CIV,1987-10-31,37828000.0
country/CYP,1987-10-31,19438000.0
country/DNK,1987-10-31,178864000.0
country/DJI,1987-10-31,1178000.0
country/DMA,1987-10-31,592400.0
country/DOM,1987-10-31,31585000.0
country/ECU,1987-10-31,32929000.0
country/EGY,1987-10-31,135924000.0
country/SLV,1987-10-31,24985000.0
country/GNQ,1987-10-31,5812000.0
country/SWZ,1987-10-31,6432000.0
country/ETH,1987-10-31,11160000.0
country/FJI,1987-10-31,6958000.0
country/FIN,1987-10-31,142690000.0
country/FRA,1987-10-31,1079870000.0
country/GAB,1987-10-31,14091000.0
country/GMB,1987-10-31,5121000.0
country/DEU,1987-10-31,1210760000.0
country/GHA,1987-10-31,62983000.0
country/GRC,1987-10-31,103544000.0
country/GRD,1987-10-31,930000.0
country/GTM,1987-10-31,27678000.0
country/GIN,1987-10-31,17604000.0
country/GNB,1987-10-31,1212400.0
country/GUY,1987-10-31,14530000.0
country/HTI,1987-10-31,13697000.0
country/HND,1987-10-31,19057000.0
country/HUN,1987-10-31,0.0
country/ISL,1987-10-31,16409000.0
country/IND,1987-10-31,681170000.0
country/IDN,1987-10-31,238956000.0
country/IRN,1987-10-31,244056000.0
country/IRQ,1987-10-31,68463800.0
country/IRL,1987-10-31,87263000.0
country/ISR,1987-10-31,106360000.0
country/ITA,1987-10-31,702400000.0
country/JAM,1987-10-31,40613000.0
country/JPN,1987-10-31,891690000.0
country/JOR,1987-10-31,16887000.0
country/KEN,1987-10-31,36990000.0
country/KIR,1987-10-31,0.0
country/KOR,1987-10-31,72911200.0
country/KWT,1987-10-31,26744400.0
country/LAO,1987-10-31,9409000.0
country/LBN,1987-10-31,4393200.0
country/LSO,1987-10-31,3739000.0
country/LBR,1987-10-31,21007000.0
country/LBY,1987-10-31,58771200.0
country/LUX,1987-10-31,16955000.0
country/MDG,1987-10-31,19270000.0
country/MWI,1987-10-31,10975000.0
country/MYS,1987-10-31,139048000.0
country/MDV,1987-10-31,282400.0
country/MLI,1987-10-31,15912000.0
country/MLT,1987-10-31,11288000.0
country/MRT,1987-10-31,9719000.0
country/MUS,1987-10-31,15744000.0
country/MEX,1987-10-31,290020000.0
country/MAR,1987-10-31,85689000.0
country/MMR,1987-10-31,43474000.0
country/NPL,1987-10-31,8104800.0
country/NLD,1987-10-31,530340000.0
country/NZL,1987-10-31,141322000.0
country/NIC,1987-10-31,19483000.0
country/NER,1987-10-31,9409000.0
country/NGA,1987-10-31,157155000.0
country/NOR,1987-10-31,167770000.0
country/OMN,1987-10-31,6262000.0
country/PAK,1987-10-31,169989000.0
country/PAN,1987-10-31,26322000.0
