dcid,sentence
Mean_HouseholdSize_Household_ForeignBorn_PlaceOfBirthSouthernEasternEurope,Mean size of Households with foreign born people from Southern Eastern Europe
Mean_HouseholdSize_Household_ForeignBorn_PlaceOfBirthWesternAsia,Mean size of Households with foreign born people from Western Asia
Mean_HouseholdSize_HousingUnit_OccupiedHousingUnit,Mean Household Size of Occupied Housing Unit
Mean_HouseholdSize_HousingUnit_OccupiedHousingUnit_OwnerOccupied,Mean Household Size of owner Occupied Housing Unit
Mean_HouseholdSize_HousingUnit_OccupiedHousingUnit_RenterOccupied,Mean Household Size of renter Occupied Housing Unit
Mean_Humidity_RelativeHumidity,Mean relative humidity
Mean_Income_Household,Average household income
Mean_Income_Household_FamilyHousehold,Average family household income
Mean_Income_Household_MarriedCoupleFamilyHousehold,Average married couple household income
Mean_Income_Household_NonfamilyHousehold,Average non-family household income
Mean_IncomeDeficit_Household_FamilyHousehold,Mean Income Deficit of Family Household
Mean_IncomeDeficit_Household_MarriedCoupleFamilyHousehold,Mean Income Deficit of Married Couple Family Household
Mean_IncomeDeficit_Household_SingleMotherFamilyHousehold,Mean Income Deficit of Single Mother Family Household
Mean_Inflation_EconomicActivity_ConsumerPriceIndex_FoodAndDrinksSector,Average inflation in consumer price index of Food and Beverages Sector
Mean_Inflation_EconomicActivity_ConsumerPriceIndex_FuelAndLightSector,Average inflation in consumer price index of Fuel and Light Sector
Mean_Inflation_EconomicActivity_ConsumerPriceIndex_GeneralSector,Average inflation in consumer price index
Mean_Inflation_EconomicActivity_ConsumerPriceIndex_UrbanHousingSector,Average inflation in consumer price index of urban housing Sector
Mean_IntervalSinceLastBirth_BirthEvent_LiveBirth,Average Time Since Last Live Birth
Mean_LmpGestationalAge_BirthEvent_LiveBirth,Average Age of Pregnancy Measured from Start of Last Menstrual Period
Mean_MarketValue_Farm_AgriculturalProducts,Average market value of agriculture products in farms
Mean_MarketValue_Farm_LandAndBuildings,Average market value of land and buildings on a farm
Mean_MarketValue_Farm_MachineryAndEquipment,Average market value of farm machinery and equipment
Mean_MothersAge_BirthEvent_LiveBirth,Average Age of Mothers at Live Birth
Mean_NetMeasure_Income_Farm,Mean Income of Farm
Mean_OeGestationalAge_BirthEvent_LiveBirth,Average OE Gestational Age
Mean_PalmerDroughtSeverityIndex,Mean Palmer Drought Severity Index (PDSI)
Mean_PalmerDroughtSeverityIndex_Forest,Mean Palmer Drought Severity Index (PDSI) in forested areas
Mean_PopulationWeighted_Concentration_AirPollutant_SmokePM25,Population-weighted Mean Concentration of Smoke PM2.5
Mean_PrecipitableWater_Atmosphere,Average amount of Precipitable Water
Mean_PrenatalVisitCount_BirthEvent_LiveBirth,Average prenatal vists
Mean_PrePregnancyBMI_BirthEvent_LiveBirth,Average Pre pregnancy BMI
Mean_Rainfall,Mean near-surface rainfall
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthAfrica,Mean Retirement Income of Households with foreign born people from Africa
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthAsia,Mean Retirement Income of Households with foreign born people from Asia
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthCaribbean,Mean Retirement Income of Households with foreign born people from Caribbean
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,Mean Retirement Income of Households with foreign born people from Central America Except Mexico
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthEasternAsia,Mean Retirement Income of Households with foreign born people from Eastern Asia
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthEurope,Mean Retirement Income of Households with foreign born people from Europe
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthLatinAmerica,Mean Retirement Income of Households with foreign born people from Latin America
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthMexico,Mean Retirement Income of Households with foreign born people from Mexico
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthNorthamerica,Mean Retirement Income of Households with foreign born people from North America
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthNorthernWesternEurope,Mean Retirement Income of Households with foreign born people from Northern Western Europe
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthOceania,Mean Retirement Income of Households with foreign born people from Oceania
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthSouthamerica,Mean Retirement Income of Households with foreign born people from South America
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthSouthCentralAsia,Mean Retirement Income of Households with foreign born people from South Central Asia
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthSouthEasternAsia,Mean Retirement Income of Households with foreign born people from South Eastern Asia
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthSouthernEasternEurope,Mean Retirement Income of Households with foreign born people from Southern Eastern Europe
Mean_RetirementIncome_Household_ForeignBorn_PlaceOfBirthWesternAsia,Mean Retirement Income of Households with foreign born people from Western Asia
Mean_Snowfall,Mean snow fall
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthAfrica,Mean social security income of households with foreign born people from Africa
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthAsia,Mean social security income of households with foreign born people from Asia
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthCaribbean,Mean social security income of households with foreign born people from Caribbean
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,Mean social security income of households with foreign born people from Central America Except Mexico
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthEasternAsia,Mean social security income of households with foreign born people from Eastern Asia
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthEurope,Mean social security income of households with foreign born people from Europe
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthLatinAmerica,Mean social security income of households with foreign born people from Latin America
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthMexico,Mean social security income of households with foreign born people from Mexico
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthNorthamerica,Mean social security income of households with foreign born people from North America
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthNorthernWesternEurope,Mean social security income of households with foreign born people from Northern Western Europe
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthOceania,Mean social security income of households with foreign born people from Oceania
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthSouthamerica,Mean social security income of households with foreign born people from South America
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthSouthCentralAsia,Mean social security income of households with foreign born people from South Central Asia
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthSouthEasternAsia,Mean social security income of households with foreign born people from South Eastern Asia
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthSouthernEasternEurope,Mean social security income of households with foreign born people from Southern Eastern Europe
Mean_SocialSecurityIncome_Household_ForeignBorn_PlaceOfBirthWesternAsia,Mean social security income of households with foreign born people from Western Asia
Mean_Temperature,Mean Temperature
Mean_Visibility,Mean Visibility
Mean_WagesMonthly_Worker,Mean Monthly Wages
Mean_WindSpeed,Mean Wind Speed
MeanMothersAge_BirthEvent,Mean Mother's Age at Birth
dc/q2pgyz35p79l4,Number of homicides of incarcerated females
dc/jtf63bh66k41g,Number of homicides of incarcerated people
dc/z29z7w7ldnwl4,Number of homicides of incarcerated males
dc/gb0b3cwxyfsh9,Number of deaths of incarcerated females
dc/67ttwfn9dswch,Number of deaths of incarcerated people
dc/shgj6xwg96pp3,Number of suicides of incarcerated females
dc/jte92xq8qsgtd,Number of suicides of incarcerated people
dc/ep052e5d1p2t4,Number of suicides of incarcerated males
dc/6xlk95n27cn23,Number of deaths of incarcerated males
dc/lnp5g90fwpct8,Number of Incarcerated females
dc/hxsdmw575en24,Number of Incarcerated people
dc/03l0q0wyqrk39,Number of Incarcerated males
Median_Age_Person,Median age of people
Median_Age_Person_AmericanIndianOrAlaskaNativeAlone,median age of american indian or alaska native people
Median_Age_Person_AsianAlone,median age of asian people
Median_Age_Person_BlackOrAfricanAmericanAlone,median age of black or african american people
Median_Age_Person_Female,median age of females
Median_Age_Person_Female_AmericanIndianOrAlaskaNativeAlone,median age of american indian or alaska native females
Median_Age_Person_Female_AsianAlone,median age of asian females
Median_Age_Person_Female_BlackOrAfricanAmericanAlone,median age of black or african american females
Median_Age_Person_Female_ForeignBorn,median age of females who are foreign born
Median_Age_Person_Female_HispanicOrLatino,median age of hispanic or latino females
Median_Age_Person_Female_Native,median age of native born females
Median_Age_Person_Female_NativeHawaiianOrOtherPacificIslanderAlone,median age of native hawaiian or other pacific islander females
Median_Age_Person_Female_TwoOrMoreRaces,median age of multi-race females
Median_Age_Person_Female_WhiteAlone,median age of white females
Median_Age_Person_ForeignBorn,median age of foreign born people
Median_Age_Person_ForeignBorn_PlaceOfBirthAfrica,median age of foreign born people from africa
Median_Age_Person_ForeignBorn_PlaceOfBirthAsia,median age of foreign born people from asia
Median_Age_Person_ForeignBorn_PlaceOfBirthCaribbean,median age of foreign born people from caribbean
Median_Age_Person_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,median age of foreign born people from central america except mexico
Median_Age_Person_ForeignBorn_PlaceOfBirthEasternAsia,median age of foreign born people from eastern asia
Median_Age_Person_ForeignBorn_PlaceOfBirthEurope,median age of foreign born people from europe
Median_Age_Person_ForeignBorn_PlaceOfBirthLatinAmerica,median age of foreign born people from latin america
Median_Age_Person_ForeignBorn_PlaceOfBirthMexico,median age of foreign born people from mexico
Median_Age_Person_ForeignBorn_PlaceOfBirthNorthamerica,median age of foreign born people from north america
Median_Age_Person_ForeignBorn_PlaceOfBirthNorthernWesternEurope,median age of foreign born people from northern western europe
Median_Age_Person_ForeignBorn_PlaceOfBirthOceania,median age of foreign born people from oceania
Median_Age_Person_ForeignBorn_PlaceOfBirthSouthamerica,median age of foreign born people from south america
Median_Age_Person_ForeignBorn_PlaceOfBirthSouthCentralAsia,median age of foreign born people from south central asia
Median_Age_Person_ForeignBorn_PlaceOfBirthSouthEasternAsia,median age of foreign born people from south eastern asia
Median_Age_Person_ForeignBorn_PlaceOfBirthSouthernEasternEurope,median age of foreign born people from southern eastern europe
Median_Age_Person_ForeignBorn_PlaceOfBirthWesternAsia,median age of foreign born people from western asia
Median_Age_Person_HispanicOrLatino,median age of hispanic or latino people
Median_Age_Person_Male,median age of males
Median_Age_Person_Male_AmericanIndianOrAlaskaNativeAlone,median age of american indian or alaska native males
Median_Age_Person_Male_AsianAlone,median age of asian males
Median_Age_Person_Male_BlackOrAfricanAmericanAlone,median age of black or african american males
Median_Age_Person_Male_ForeignBorn,median age of foreign born males
Median_Age_Person_Male_HispanicOrLatino,median age of hispanic or latino males
Median_Age_Person_Male_Native,median age of native males
Median_Age_Person_Male_NativeHawaiianOrOtherPacificIslanderAlone,median age of native hawaiian or other pacific islander males
Median_Age_Person_Male_TwoOrMoreRaces,median age of multi races males
Median_Age_Person_Male_WhiteAlone,median age of white males
Median_Age_Person_Native,median age of native people
Median_Age_Person_NativeHawaiianOrOtherPacificIslanderAlone,median age of native hawaiian or other pacific islander
Median_Age_Person_NoHealthInsurance,median age of people who have no health insurance
Median_Age_Person_ResidesInAdultCorrectionalFacilities,Median age of people residing in adult correctional facilities
Median_Age_Person_ResidesInCollegeOrUniversityStudentHousing,Median age of people residing in college or university student housing
Median_Age_Person_ResidesInGroupQuarters,Median age of people residing in group quarters
Median_Age_Person_ResidesInInstitutionalizedGroupQuarters,Median age of people residing in institutionalized group quarters
Median_Age_Person_ResidesInNoninstitutionalizedGroupQuarters,Median age of people residing in noninstitutionalized group quarters
Median_Age_Person_ResidesInNursingFacilities,Median age of people residing in nursing facilities
Median_Age_Person_TwoOrMoreRaces,Median age of people of multi races
Median_Age_Person_WhiteAlone,Median age of white people
Median_Age_Person_WorkedInThePast12Months,Median age of people who worked in the past 12 months
Median_Area_Farm,Median area of farm
Median_Earnings_Person,median earnings
Median_Earnings_Person_Female,median earnings of females
Median_Earnings_Person_Male,median earnings of males
Median_GrossRent_HousingUnit_WithCashRent_OccupiedHousingUnit_RenterOccupied,Median Gross Rent for Cash-Rent Housing Units
Median_HomeValue_HousingUnit_OccupiedHousingUnit_OwnerOccupied,Median home value for owner occupied housing units
Median_Income_Household,Median household income
Median_Income_Household_FamilyHousehold,Median household income for family households
Median_Income_Household_ForeignBorn_PlaceOfBirthAfrica,Median income of households with foreign born people from Africa
Median_Income_Household_ForeignBorn_PlaceOfBirthAsia,Median income of households with foreign born people from Asia
Median_Income_Household_ForeignBorn_PlaceOfBirthCaribbean,Median income of households with foreign born people from Caribbean
Median_Income_Household_ForeignBorn_PlaceOfBirthCentralAmericaExceptMexico,Median income of households with foreign born people from Central America Except Mexico
Median_Income_Household_ForeignBorn_PlaceOfBirthEasternAsia,Median income of households with foreign born people from Eastern Asia
Median_Income_Household_ForeignBorn_PlaceOfBirthEurope,Median income of households with foreign born people from Europe
Median_Income_Household_ForeignBorn_PlaceOfBirthLatinAmerica,Median income of households with foreign born people from Latin America
Median_Income_Household_ForeignBorn_PlaceOfBirthMexico,Median income of households with foreign born people from Mexico
Median_Income_Household_ForeignBorn_PlaceOfBirthNorthamerica,Median income of households with foreign born people from North America
Median_Income_Household_ForeignBorn_PlaceOfBirthNorthernWesternEurope,Median income of households with foreign born people from Northern Western Europe
Median_Income_Household_ForeignBorn_PlaceOfBirthOceania,Median income of households with foreign born people from Oceania
Median_Income_Household_ForeignBorn_PlaceOfBirthSouthamerica,Median income of households with foreign born people from South America
Median_Income_Household_ForeignBorn_PlaceOfBirthSouthCentralAsia,Median income of households with foreign born people from South Central Asia
Median_Income_Household_ForeignBorn_PlaceOfBirthSouthEasternAsia,Median income of households with foreign born people from South Eastern Asia
Median_Income_Household_ForeignBorn_PlaceOfBirthSouthernEasternEurope,Median income of households with foreign born people from Southern Eastern Europe
Median_Income_Household_ForeignBorn_PlaceOfBirthWesternAsia,Median income of households with foreign born people from Western Asia
Median_Income_Household_HouseholderRaceAmericanIndianOrAlaskaNativeAlone,Median income for household with American Indian or Alaska Native householder
Median_Income_Household_HouseholderRaceAsianAlone,Median income for household with Asian householder
Median_Income_Household_HouseholderRaceBlackOrAfricanAmericanAlone,Median income for household with Black or African American householder
Median_Income_Household_HouseholderRaceHispanicOrLatino,Median income for household with Hispanic or Latino householder
Median_Income_Household_HouseholderRaceNativeHawaiianOrOtherPacificIslanderAlone,Median income for household with Native Hawaiian or other Pacific Islander householder
Median_Income_Household_HouseholderRaceTwoOrMoreRaces,Median income for household with muti races householder
Median_Income_Household_HouseholderRaceWhiteAlone,Median income for household with white householder
Median_Income_Household_MarriedCoupleFamilyHousehold,Median income for married couple family household
Median_Income_Household_NoHealthInsurance,Median income for household without health insurance
Median_Income_Household_NonfamilyHousehold,Median income for non family household
Median_Income_Household_WithFoodStampsInThePast12Months,Median Income for Households With Food Stamps in the Past Year
Median_Income_Household_WithoutFoodStampsInThePast12Months,Median Income for Households Without Food Stamps in the Past Year
Median_Income_Person,median income
Median_Income_Person_15OrMoreYears_Female_WithIncome,Median Income of females
Median_Income_Person_15OrMoreYears_Male_WithIncome,Median Income of males
Median_Income_Person_15OrMoreYears_WithIncome_ForeignBorn,Median Income of foreign born people
Median_Income_Person_18OrMoreYears_Civilian_WithIncome,Median Income of civilians
Median_Income_Person_25OrMoreYears_EducationalAttainmentBachelorsDegree_WithIncome,Median Income of people with bachelor's degree
Median_Income_Person_25OrMoreYears_EducationalAttainmentGraduateOrProfessionalDegree_WithIncome,Median Income of people with graduate or professional degree
Median_Income_Person_25OrMoreYears_EducationalAttainmentHighSchoolGraduateIncludesEquivalency_WithIncome,Median Income of people with high school graduate includes equivalency
Median_Income_Person_25OrMoreYears_EducationalAttainmentLessThanHighSchoolGraduate_WithIncome,Median Income of people with less than high school graduate
Median_Income_Person_25OrMoreYears_EducationalAttainmentSomeCollegeOrAssociatesDegree_WithIncome,Median Income of people with some college or associates degree
MedianMothersAge_BirthEvent,Median Mother's Age at Birth
Min_Humidity_RelativeHumidity,Minimum Relative Humidity
Min_Rainfall,Minimal rainfall
Min_Snowfall,minimal snowfall
Min_Temperature,minimal Temperature
Monthly_Count_ElectricityConsumer,Monthly count of electricity consumers
MortalityRate_Person_Upto4Years_AsFractionOf_Count_BirthEvent_LiveBirth,Mortality Rate of Children Younger Than 4 Years
NetMeasure_Income_Farm,Total farm net income
NumberOfDays_HeatWaveEvent,Number of Heat Wave days in a year
PalmerDroughtSeverityIndex_Atmosphere,Palmer Drought Severity Index
Percent_BurnedArea_FireEvent,Percent of area that are burned in land fire
Percent_BurnedArea_FireEvent_Forest,Percent of forest area that burned
Percent_BurnedArea_FireEvent_Forest_HighSeverity,Percent of forest area that experienced high-severity fire
Percent_Daily_TobaccoUsing_In_Count_Person,Prevalence of Daily Tobacco Smoking
Percent_Daily_TobaccoUsing_In_Count_Person_Female,Prevalence of Daily Tobacco Use Among Females
Percent_Daily_TobaccoUsing_In_Count_Person_Male,Prevalence of Daily Tobacco Use Among Mmales
Percent_Person_18To64Years_Female_NoHealthInsurance,Percentage of working age females Without Health Insurance
Percent_Person_18To64Years_Male_NoHealthInsurance,Percentage of working age males Without Health Insurance
Percent_Person_18To64Years_ReceivedNoHealthInsurance,Percentage of working age population Without Health Insurance
Percent_Person_20OrMoreYears_WithDiabetes,Percentage of People Aged 20 and above With Diabetes
Percent_Person_21To65Years_Female_ReceivedCervicalCancerScreening,Percentage of females Aged 21 to 65 Received Cervical Cancer Screening
Percent_Person_50To74Years_Female_ReceivedMammography,Percentage of females Aged 50 to 74 Received Mammography
Percent_Person_50To75Years_ReceivedColorectalCancerScreening,Percentage of People Aged 50 to 75 Received Colorectal Cancer Screening
Percent_Person_65OrMoreYears_Female_ReceivedCorePreventiveServices,Percentage of elderly females Received Core Preventive Services
Percent_Person_65OrMoreYears_Male_ReceivedCorePreventiveServices,Percentage of elderly males Received Core Preventive Services
Percent_Person_65OrMoreYears_WithAllTeethLoss,Percentage of elderly people who have lost all their teeth
Percent_Person_BingeDrinking,prevalence of binge drinking
Percent_Person_Children_WithAsthma,prevalence of asthma among children
Percent_Person_Obesity,prevalence of obesity
Percent_Person_PhysicalInactivity,prevalence of physical inactivity
Percent_Person_ReceivedAnnualCheckup,Percentage of the population who receive an annual checkup
Percent_Person_ReceivedCholesterolScreening,Percentage of adults who Received Cholesterol Screening
Percent_Person_ReceivedDentalVisit,Percentage of adults who Received Dental Visit
Percent_Person_SleepLessThan7Hours,Percentage of adults who Sleep Less Than 7 Hours
Percent_Person_Smoking,Prevalence of Smoke among adults
Percent_Person_WithAllTeethLoss,Prevalence of All Teeth Loss among adults
Percent_Person_WithArthritis,Prevalence of Arthritis among adults
Percent_Person_WithAsthma,Prevalence of Asthma among adults
Percent_Person_WithCancerExcludingSkinCancer,Prevalence of Cancer Excluding Skin Cancer among adults
Percent_Person_WithChronicKidneyDisease,Prevalence of Chronic Kidney Disease among adults
Percent_Person_WithChronicObstructivePulmonaryDisease,Prevalence of Chronic Obstructive Pulmonary Disease among adults
Percent_Person_WithCoronaryHeartDisease,Prevalence of Coronary Heart Disease among adults
Percent_Person_WithDiabetes,Prevalence of Diabetes among adults
Percent_Person_WithHighBloodPressure,Prevalence of High Blood Pressure among adults
Percent_Person_WithHighCholesterol,Prevalence of High Cholesterol among adults
Percent_Person_WithMentalHealthNotGood,Prevalence of poor Mental Health among adults
Percent_Person_WithPhysicalHealthNotGood,Prevalence of poor Physical Health among adults
Percent_Person_WithStroke,Prevalence of Stroke among adults
dc/4lvmzr1h1ylk1,Prevalence of adult female obesity
dc/tcqb49dvg7k53,Prevalence of adult female physical inactivity
dc/nh3s4skee5483,Prevalence of adult female diabetes
dc/x13tvt8jsgrm4,Prevalence of adult male obesity
dc/ty7pq88d26963,Prevalence of adult male physical inactivity
dc/xmpy89x1nh8cg,Prevalence of adult male diabetes
Percent_Student_AsAFractionOf_Count_Teacher,Student to Teacher Ratio
Percent_TobaccoUsing_In_Count_Person,Prevalence of Tobacco Use
Percent_TobaccoUsing_In_Count_Person_Female,Prevalence of tobacco use among females
Percent_TobaccoUsing_In_Count_Person_Male,Prevalence of tobacco use among males
QuantitySold_FarmInventory_CattleAndCalves,Number of Cattle and Calves Sold From Farms
QuantitySold_FarmInventory_HogsAndPigs,Number of Hogs and Pigs Sold From Farms
dc/9pmyhk89dj3pf,Median income of people working in the Accommodation & Food Services Industry
dc/4z9xy6wn8xns1,"Median income of people working in the Administrative Support, Waste Management & Remediation Services Industry"
dc/yw52qqrrb2w11,"Median income of people working in the Agriculture, Forestry, Fishing & Hunting Industry"
dc/mfz54y2skbpeh,"Median income of people working in the Arts, Entertainment & Recreation Industry"
dc/m07n4w3ywjzs3,Median income of people working in the Construction Industry
dc/jefhcs9qxc971,Median income of people working in the Educational Services Industry
dc/x3gghqtglpr59,Median income of people working in the Finance & Insurance Industry
dc/2wgh04kx6es88,Median income of people working in the Health Care & Social Assistance Industry
dc/xj2nk2bg60fg,Median income of people working in the Information Industry
dc/t6m99mqmqxjbc,Median income of people working in the Management of Companies & Enterprises Industry
dc/3ex11eg2q9hp6,Median income of people working in the Manufacturing Industry
dc/b4dj4sbgqybh7,Median income of people working in the Mining Quarrying Oil & Gas Extraction Industry
dc/5hv2p802zmh03,Median income of people working in the Professional Scientific & Technical Services Industry
dc/7jqw95h5wbelb,Median income of people working in the Public Administration Industry
dc/015d58s9xh8kd,Median income of people working in the Real Estate Rental & Leasing Industry
dc/5f3gkej4mrq24,Median income of people working in the Retail Trade Industry
dc/zbpsz8dg01nh2,Median income of people working in the Transportation & Warehousing Industry
dc/x95kmng969n42,Median income of people working in the Utilities Industry
dc/8hy0p1ex5s2cb,Median income of people working in the Wholesale Trade Industry
Receipts_Establishment_NAICSAdministrativeSupportWasteManagementRemediationServices_WithPayroll,Revenue of Administrative And Support And Waste Management Services Establishments
ReceiptsBillingsOrSales_Establishment_NAICSConstruction_WithPayroll,Revenue of Construction Establishments
ReceiptsOrRevenue_Establishment_NAICSArtsEntertainmentRecreation_WithPayroll,"Revenue of Arts, Entertainment, and Recreation Establishments"
ReceiptsOrRevenue_Establishment_NAICSEducationalServices_WithPayroll,Revenue of Educational Services Establishments
ReceiptsOrRevenue_Establishment_NAICSHealthCareSocialAssistance_WithPayroll,Revenue of Health Care and Social Assistance Establishments
ReceiptsOrRevenue_Establishment_NAICSInformation_WithPayroll,Revenue of Information Establishments
ReceiptsOrRevenue_Establishment_NAICSProfessionalScientificTechnicalServices_WithPayroll,"Revenue of Professional, Scientific, and Technical Services Establishments"
RetailDrugDistribution_DrugDistribution_Alfentanil,amount of retail drug purchase of alfentanil
RetailDrugDistribution_DrugDistribution_Amobarbital,amount of retail drug purchase of Amobarbital
RetailDrugDistribution_DrugDistribution_Amphetamine,amount of retail drug purchase of Amphetamine
RetailDrugDistribution_DrugDistribution_AnabolicSteroids,amount of retail drug purchase of Anabolic Steroids
RetailDrugDistribution_DrugDistribution_BarbituricAcidDerivativeOrSalt,amount of retail drug purchase of Barbituric Acid Derivative Or Salt
RetailDrugDistribution_DrugDistribution_Buprenorphine,amount of retail drug purchase of Buprenorphine
RetailDrugDistribution_DrugDistribution_Butalbital,amount of retail drug purchase of Butalbital
RetailDrugDistribution_DrugDistribution_Cocaine,amount of retail drug purchase of Cocaine
RetailDrugDistribution_DrugDistribution_Codeine,amount of retail drug purchase of Codeine
RetailDrugDistribution_DrugDistribution_dea/9809,amount of retail drug purchase of Amobarbital
RetailDrugDistribution_DrugDistribution_Dihydrocodeine,amount of retail drug purchase of Dihydrocodeine
RetailDrugDistribution_DrugDistribution_DlMethamphetamine,amount of retail drug purchase of Dl-Methamphetamine
RetailDrugDistribution_DrugDistribution_DMethamphetamine,amount of retail drug purchase of D-Methamphetamine
RetailDrugDistribution_DrugDistribution_Ecgonine,amount of retail drug purchase of Ecgonine
RetailDrugDistribution_DrugDistribution_FDAApprovedGammaHydroxybutyricAcidPreparations,amount of retail drug purchase of FDA Approved Gamma Hydroxybutyric Acid Preparations
RetailDrugDistribution_DrugDistribution_Fentanyl,amount of retail drug purchase of Fentanyl
RetailDrugDistribution_DrugDistribution_GammaHydroxybutyricAcid,amount of retail drug purchase of Gamma Hydroxybutyric Acid
RetailDrugDistribution_DrugDistribution_Hydrocodone,amount of retail drug purchase of Hydrocodone
RetailDrugDistribution_DrugDistribution_Hydromorphone,amount of retail drug purchase of Hydromorphone
RetailDrugDistribution_DrugDistribution_Levorphanol,amount of retail drug purchase of Levorphanol
RetailDrugDistribution_DrugDistribution_Lisdexamfetamine,amount of retail drug purchase of Lisdexamfetamine
RetailDrugDistribution_DrugDistribution_Lorazepam,amount of retail drug purchase of Lorazepam
RetailDrugDistribution_DrugDistribution_MarketableOralDronabinol,amount of retail drug purchase of Marketable Oral Dronabinol
RetailDrugDistribution_DrugDistribution_Methadone,amount of retail drug purchase of Methadone
RetailDrugDistribution_DrugDistribution_Methylphenidate,amount of retail drug purchase of Methylphenidate
RetailDrugDistribution_DrugDistribution_Morphine,amount of retail drug purchase of Morphine
RetailDrugDistribution_DrugDistribution_Nabilone,amount of retail drug purchase of Nabilone
RetailDrugDistribution_DrugDistribution_Naloxone,amount of retail drug purchase of Naloxone
RetailDrugDistribution_DrugDistribution_Noroxymorphone,amount of retail drug purchase of Noroxymorphone
RetailDrugDistribution_DrugDistribution_Oxycodone,amount of retail drug purchase of Oxycodone
RetailDrugDistribution_DrugDistribution_Oxymorphone,amount of retail drug purchase of Oxymorphone
RetailDrugDistribution_DrugDistribution_Paregoric,amount of retail drug purchase of Paregoric
RetailDrugDistribution_DrugDistribution_Pentobarbital,amount of retail drug purchase of Pentobarbital
RetailDrugDistribution_DrugDistribution_Pethidine,amount of retail drug purchase of Pethidine
RetailDrugDistribution_DrugDistribution_Phencyclidine,amount of retail drug purchase of Phencyclidine
RetailDrugDistribution_DrugDistribution_Phendimetrazine,amount of retail drug purchase of Phendimetrazine
RetailDrugDistribution_DrugDistribution_Phenobarbital,amount of retail drug purchase of Phenobarbital
RetailDrugDistribution_DrugDistribution_PoppyStrawConcentrate,amount of retail drug purchase of Poppy Straw Concentrate
RetailDrugDistribution_DrugDistribution_PowderedOpium,amount of retail drug purchase of Powdered Opium
RetailDrugDistribution_DrugDistribution_Remifentanil,amount of retail drug purchase of Remifentanil
RetailDrugDistribution_DrugDistribution_Secobarbital,amount of retail drug purchase of Secobarbital
RetailDrugDistribution_DrugDistribution_Sufentanil,amount of retail drug purchase of Sufentanil
RetailDrugDistribution_DrugDistribution_Tapentadol,amount of retail drug purchase of Tapentadol
RetailDrugDistribution_DrugDistribution_Testosterone,amount of retail drug purchase of Testosterone
RetailDrugDistribution_DrugDistribution_TincuredOpium,amount of retail drug purchase of Tincured Opium
RetailDrugDistribution_DrugDistribution_Zolpidem,amount of retail drug purchase of Zolpidem
dc/xx3v7dmqp95h3,Revenue of Biomass Electric Power Generation establishments
dc/s9cn1zj5fv5cc,Revenue of Electric Power Distribution establishments
Revenue_Establishment_NAICSFinanceInsurance_WithPayroll,Revenue of Finance Insurance establishments
dc/96b2ddmlpvq7f,Revenue of Geothermal Electric Power Generation establishments
dc/n18hgz310vw83,Revenue of Hydroelectric Power Generation establishments
Revenue_Establishment_NAICSManagementOfCompaniesEnterprises_WithPayroll,Revenue of Management of Companies Enterprises establishments
dc/ktmr6ngnsqxmf,Revenue of Nuclear Electric Power Generation establishments
Revenue_Establishment_NAICSRealEstateRentalLeasing_WithPayroll,Revenue of Real Estate Rental Leasing establishments
dc/te4lvw7tlnfv9,Revenue of Solar Electric Power Generation establishments
dc/b6z2v4t8cvcd5,Revenue of Wind Electric Power Generation establishments
